公司代號,year_quarter,季均價
1514,2020Q1,16.83
1514,NaT,26.16333333333333
1515,2017Q1,17.32
1515,2017Q2,23.36
1515,2017Q3,41.74
1515,2017Q4,48.4825
1515,2018Q4,69.11
1515,2019Q1,86.51
1515,2019Q3,71.25666666666667
1515,NaT,83.74
1516,2018Q3,15.32
1516,2018Q4,16.09
1516,2019Q2,16.46
1516,2020Q1,15.69
1516,NaT,18.37333333333333
1517,2017Q1,10.89
1517,2017Q3,11.14
1517,2017Q4,10.83
1517,2018Q1,9.88
1517,2018Q2,10.41
1517,2019Q1,9.323333333333332
1517,2019Q2,7.39
1517,NaT,11.923333333333332
1519,2016Q4,17.245
1519,2017Q3,21.335
1519,2018Q1,24.92
1519,2018Q2,22.3375
1519,2019Q2,26.38
1519,2019Q3,25.0
1519,2019Q4,29.22
1519,2020Q1,25.78
1519,NaT,41.68333333333333
1521,2016Q3,80.79
1521,2017Q2,81.115
1521,2017Q3,80.75
1521,2018Q2,61.916666666666664
1521,2018Q3,63.12
1521,2018Q4,66.65
1521,2019Q3,59.6
1521,NaT,56.69333333333333
1522,2016Q3,33.715
1522,2016Q4,33.35
1522,2017Q1,33.05
1522,2017Q4,30.62
1522,2018Q2,26.075000000000003
1522,2018Q3,27.27
1522,2019Q3,26.88
1522,NaT,23.236666666666665
1524,2017Q1,12.115
1524,2017Q2,10.59
1524,2017Q3,11.06
1524,2017Q4,10.22
1524,2018Q1,10.44
1524,2018Q2,10.49
1524,2018Q3,10.43
1524,2018Q4,9.95
1524,2019Q2,9.145
1524,NaT,9.623333333333333
1525,2016Q3,115.32499999999999
1525,2016Q4,105.32
1525,2017Q2,87.19
1525,2017Q3,75.92
1525,2017Q4,66.49
1525,2018Q1,57.02
1525,2018Q2,65.01
1525,2018Q3,56.14
1525,2019Q2,51.51
1525,NaT,62.17333333333334
1526,2016Q3,15.49
1526,2017Q2,18.65
1526,2017Q3,34.89
1526,2017Q4,57.77
1526,2018Q1,45.93
1526,2018Q2,37.91
1526,2018Q3,29.88
1526,2018Q4,29.3
1526,2019Q1,24.23
1526,2019Q2,16.31
1526,NaT,43.94333333333333
1527,2016Q3,90.755
1527,2017Q1,78.82
1527,2017Q3,59.375
1527,2017Q4,56.05
1527,2018Q1,47.22
1527,2018Q2,54.69
1527,2018Q3,57.41
1527,2019Q2,46.71333333333333
1527,NaT,40.666666666666664
1528,2016Q4,10.524999999999999
1528,2017Q3,11.97
1528,2017Q4,14.9
1528,2018Q1,13.907499999999999
1528,2018Q2,10.36
1528,2018Q3,9.32
1528,2018Q4,9.24
1528,2019Q1,9.42
1528,2019Q2,6.2
1528,NaT,8.52
1529,2018Q4,16.505
1529,2019Q4,15.96
1529,NaT,16.883333333333336
1530,2017Q1,33.905
1530,2017Q3,33.486666666666665
1530,2018Q2,33.055
1530,2018Q3,30.27
1530,2018Q4,28.31
1530,2019Q2,28.42
1530,NaT,30.94333333333333
1531,2017Q1,18.39
1531,2017Q2,20.44
1531,2017Q3,21.3
1531,2017Q4,22.91
1531,2018Q1,19.0425
1531,2018Q2,16.57
1531,2018Q3,16.07
1531,2018Q4,15.08
1531,2019Q2,12.940000000000001
1531,NaT,12.293333333333335
1532,2016Q3,31.215
1532,2016Q4,30.58
1532,2017Q1,27.97
1532,2017Q3,29.11
1532,2018Q3,31.27
1532,2018Q4,36.39
1532,2019Q1,34.0375
1532,2019Q2,24.46
1532,NaT,30.55
1533,2016Q2,43.25
1533,2016Q3,40.71
1533,2017Q1,41.42
1533,2017Q4,37.43
1533,2018Q1,37.69
1533,2018Q4,36.669999999999995
1533,2019Q2,31.985
1533,NaT,32.446666666666665
1535,2016Q2,47.32
1535,2016Q3,43.81
1535,2017Q1,40.785
1535,2018Q1,38.08
1535,2018Q2,33.58
