公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
1301,台灣塑膠FPC,107/09/21,105.15,2018-09-21,2018Q3
1303,南亞塑膠NPC,107/07/05,76.46,2018-07-05,2018Q3
1304,台灣聚合USI,107/05/18,12.1,2018-05-18,2018Q2
1305,華夏塑膠CGPC,107/04/18,23.0,2018-04-18,2018Q2
1307,三芳化工SAN FANG,107/04/13,24.04,2018-04-13,2018Q2
1308,亞聚APC,107/04/13,14.26,2018-04-13,2018Q2
1309,台達化TTC,107/05/24,10.29,2018-05-24,2018Q2
1310,臺灣苯乙烯T.S.M.C.,107/12/07,24.34,2018-12-07,2018Q4
1312,國喬石化        (普 通)GPPC common,107/05/23,23.9,2018-05-23,2018Q2
1312A,國喬石化        (特 別)GPPC preferred,107/10/01,36.23,2018-10-01,2018Q4
1313,聯成UPC,107/05/21,12.95,2018-05-21,2018Q2
1314,中石化CPDC,107/05/18,11.57,2018-05-18,2018Q2
1315,達新工業TAHHSIN,108/03/25,30.05,2019-03-25,2019Q1
1319,東陽TYG,107/04/16,40.39,2018-04-16,2018Q2
1321,大洋OPC,107/05/21,26.19,2018-05-21,2018Q2
1323,永裕YONYU,107/06/12,36.88,2018-06-12,2018Q2
1324,地球Globe,107/04/03,11.0,2018-04-03,2018Q2
1325,恒大UK,107/04/25,16.31,2018-04-25,2018Q2
1326,台灣化纖FCFC,107/09/28,108.6,2018-09-28,2018Q3
1337,再生-KYAsia Plastic,107/04/23,7.08,2018-04-23,2018Q2
1339,昭輝Y.C.C.,107/08/15,36.1,2018-08-15,2018Q3
1340,勝悅-KYVICTORY,107/04/03,18.15,2018-04-03,2018Q2
1341,富林-KYFULIN-KY,107/12/24,50.2,2018-12-24,2018Q4
4306,炎洲YEMCHIO,107/06/08,14.17,2018-06-08,2018Q2
1402,遠東新FENC,107/09/21,30.39,2018-09-21,2018Q3
1409,新光合纖SSFC,107/08/27,13.86,2018-08-27,2018Q3
1410,南洋染整NYDF,108/03/11,25.32,2019-03-11,2019Q1
1413,宏洲纖維H.C.,107/05/02,12.84,2018-05-02,2018Q2
1414,東和紡織TUNG HO,107/04/09,7.26,2018-04-09,2018Q2
1416,廣豐實業KFIC,107/04/10,14.98,2018-04-10,2018Q2
1417,嘉裕Carnival,107/06/01,5.66,2018-06-01,2018Q2
1419,新光紡織SHINKO.SPIN.,107/05/25,42.28,2018-05-25,2018Q2
1423,利華羊毛Reward Wool,107/04/24,10.31,2018-04-24,2018Q2
1434,福懋Formosa Taffeta,107/09/21,36.3,2018-09-21,2018Q3
1439,中和羊毛Chuwa Wool,107/05/02,30.3,2018-05-02,2018Q2
1440,台南紡織Tainan Spinning,107/06/15,12.27,2018-06-15,2018Q2
1443,立益紡織LILYTEXTILE,107/07/18,7.05,2018-07-18,2018Q3
1444,力麗LEALEA,107/05/18,10.05,2018-05-18,2018Q2
1445,大宇紡織Universal,107/04/19,7.84,2018-04-19,2018Q2
1446,宏和紡織Hong Ho,107/08/10,25.88,2018-08-10,2018Q3
1447,力鵬LP,107/09/27,7.81,2018-09-27,2018Q3
1449,佳和實業CHIA HER,107/04/25,4.73,2018-04-25,2018Q2
1451,年興紡織NIEN HSING,108/03/26,27.87,2019-03-26,2019Q1
1452,宏益纖維HONG YI,107/04/02,20.04,2018-04-02,2018Q2
1453,大將TA JIANG,107/04/24,9.4,2018-04-24,2018Q2
1454,臺灣富綢TTF,107/05/15,8.25,2018-05-15,2018Q2
1455,集盛ZIG SHENG,107/05/21,9.23,2018-05-21,2018Q2
1456,怡華I-HWA,107/04/02,8.56,2018-04-02,2018Q2
1457,宜進YI JINN,107/04/09,13.31,2018-04-09,2018Q2
1459,聯發紡織Lan Fa Textile,107/09/27,8.12,2018-09-27,2018Q3
1460,宏遠Everest Textile,107/09/19,11.58,2018-09-19,2018Q3
1463,強盛染整CS,107/04/03,15.14,2018-04-03,2018Q2
1464,得力DE LICACY,107/04/09,21.13,2018-04-09,2018Q2
1465,偉全WISHER,107/06/12,13.83,2018-06-12,2018Q2
1466,聚隆纖維Acelon,107/04/09,9.5,2018-04-09,2018Q2
1467,南緯TEX-RAY,107/06/14,9.31,2018-06-14,2018Q2
1468,昶和纖維CHANG HO,107/07/10,9.93,2018-07-10,2018Q3
1470,大統新創EVERTEX,108/02/26,21.41,2019-02-26,2019Q1
1472,三洋紡織Tri Ocean,107/06/21,32.69,2018-06-21,2018Q2
1473,台南企業Tainan,107/04/10,19.67,2018-04-10,2018Q2
1474,弘裕HONMYUE,107/07/19,10.67,2018-07-19,2018Q3
1476,儒鴻企業ECLAT,108/03/21,404.4,2019-03-21,2019Q1
1477,聚陽Makalot,108/03/29,201.84,2019-03-29,2019Q1
4414,如興ROO HSING,107/05/14,14.87,2018-05-14,2018Q2
4426,利勤實業LI CHENG,108/03/29,55.03,2019-03-29,2019Q1
4438,廣越QVE,107/09/14,133.76,2018-09-14,2018Q3
1503,士林電機SEEC,107/09/18,42.01,2018-09-18,2018Q3
1504,東元電機TECO,107/04/09,20.04,2018-04-09,2018Q2
1506,正道R.W.,107/04/30,20.59,2018-04-30,2018Q2
1507,永大機電YUNGTAY,108/03/28,61.68,2019-03-28,2019Q1
1513,中興電工CHEM,107/04/09,20.43,2018-04-09,2018Q2
1514,亞力電機AEC,107/04/09,14.79,2018-04-09,2018Q2
1515,力山工業REXON,108/03/06,88.65,2019-03-06,2019Q1
1517,利奇機械Lee Chi,107/04/09,10.41,2018-04-09,2018Q2
1519,華城電機FE,107/04/09,23.15,2018-04-09,2018Q2
1521,大億DAIOKU,107/05/14,62.33,2018-05-14,2018Q2
1522,堤維西TYC,107/06/20,26.51,2018-06-20,2018Q2
1524,耿鼎GORDON,107/06/11,10.49,2018-06-11,2018Q2
1525,江申KSC,107/04/12,65.01,2018-04-12,2018Q2
1526,日馳SUNRACE,107/04/03,37.91,2018-04-03,2018Q2
1527,鑽全BASSO,107/06/28,54.69,2018-06-28,2018Q2
1528,恩德科技Anderson,107/05/14,10.36,2018-05-14,2018Q2
1530,亞崴電機Awea,107/06/19,31.25,2018-06-19,2018Q2
1531,高林股Kaulin,107/04/09,16.57,2018-04-09,2018Q2
1532,勤美CMP,108/01/10,38.95,2019-01-10,2019Q1
1533,車王電MORE,107/11/30,36.91,2018-11-30,2018Q4
1535,中宇CEC,107/04/11,33.58,2018-04-11,2018Q2
1536,和大HOTA,107/06/07,116.11,2018-06-07,2018Q2
1537,廣隆光電KUNG LONG,108/03/27,163.19,2019-03-27,2019Q1
1538,正峰新JF,107/10/05,5.0,2018-10-05,2018Q4
1539,巨庭機械GEETECH,107/09/17,25.7,2018-09-17,2018Q3
1540,喬福機械JOHNFORD,108/03/29,17.5,2019-03-29,2019Q1
1541,錩泰Chang Type,107/06/14,29.84,2018-06-14,2018Q2
1558,伸興ZENG HSING,108/03/27,148.89,2019-03-27,2019Q1
1560,中砂KINIK,107/04/13,60.88,2018-04-13,2018Q2
1568,倉佑T.Y.,107/06/04,19.96,2018-06-04,2018Q2
1583,程泰GOODWAY,107/06/13,54.86,2018-06-13,2018Q2
1587,吉茂CM,107/04/16,18.44,2018-04-16,2018Q2
1589,永冠-KYYGG,107/04/09,72.71,2018-04-09,2018Q2
1590,亞德客-KYAIRTAC,107/04/18,385.12,2018-04-18,2018Q2
1592,英瑞-KYEnterex,107/05/29,25.6,2018-05-29,2018Q2
2049,上銀科技HIWIN,107/04/18,266.17,2018-04-18,2018Q2
2228,劍麟IRF,107/04/02,87.74,2018-04-02,2018Q2
2231,為升CUB,107/04/12,312.29,2018-04-12,2018Q2
2236,百達-KYPatec,107/06/20,28.78,2018-06-20,2018Q2
2371,大同Tatung,107/11/26,25.18,2018-11-26,2018Q4
3167,大量科技TA LIANG,107/08/15,41.16,2018-08-15,2018Q3
3346,麗清Laster Tech,107/04/09,35.71,2018-04-09,2018Q2
4526,東台TOPPER,107/06/13,18.52,2018-06-13,2018Q2
4532,瑞智RECHI,107/07/20,26.26,2018-07-20,2018Q3
4540,全球傳動TBI MOTION,107/08/17,70.77,2018-08-17,2018Q3
4551,智伸科技GLOBAL PMX,107/04/09,118.41,2018-04-09,2018Q2
4552,力達-KYLida,107/04/02,60.86,2018-04-02,2018Q2
4555,台灣氣立CHELIC,107/04/10,59.55,2018-04-10,2018Q2
4557,永新-KYYusin,107/04/09,75.79,2018-04-09,2018Q2
4560,強信-KYSTRONG H,107/04/02,55.85,2018-04-02,2018Q2
4562,穎漢YHT,107/06/29,34.9,2018-06-29,2018Q2
4564,元翎MOSA,108/03/22,63.53,2019-03-22,2019Q1
4566,時碩工業GLOBAL TEK,107/04/02,46.17,2018-04-02,2018Q2
5288,豐祥-KYEurocharm,108/02/27,135.8,2019-02-27,2019Q1
6605,帝寶DEPO,107/04/12,68.8,2018-04-12,2018Q2
8222,寶一科技Aero Win,107/05/09,20.84,2018-05-09,2018Q2
8374,羅昇ACE PILLAR,107/06/05,22.54,2018-06-05,2018Q2
8996,高力KAORI,107/07/27,46.73,2018-07-27,2018Q3
1603,中華電纜CWCO,107/07/19,21.63,2018-07-19,2018Q3
1604,聲寶Sampo,108/03/29,15.71,2019-03-29,2019Q1
1605,華新麗華WALSIN,107/05/24,18.09,2018-05-24,2018Q2
1608,華榮HE,107/04/09,9.54,2018-04-09,2018Q2
1609,大亞電纜TA YA,107/04/09,11.3,2018-04-09,2018Q2
1611,中國電器CE,107/04/09,9.97,2018-04-09,2018Q2
1612,宏泰電工Hong Tai,107/04/09,9.92,2018-04-09,2018Q2
1614,三洋電機SANYO,108/03/11,24.66,2019-03-11,2019Q1
1615,大山電纜Dah San,107/04/23,17.38,2018-04-23,2018Q2
1616,億泰電纜Evertop,107/06/12,4.55,2018-06-12,2018Q2
1617,榮星電線JSW,107/04/09,13.37,2018-04-09,2018Q2
1618,合機電纜Hold-Key,107/04/09,8.85,2018-04-09,2018Q2
1626,艾美特-KYAIRMATE,108/03/13,25.43,2019-03-13,2019Q1
4930,燦星網Star Comgistic,108/03/06,12.84,2019-03-06,2019Q1
1802,臺灣玻璃Taiwan Glass,107/04/20,13.68,2018-04-20,2018Q2
1806,冠軍CHAMPION,107/04/09,6.95,2018-04-09,2018Q2
